                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.3684,                 1.0054,                  1.434,                0.85946,                0.81688,                0.89033,                0.67873,                 1.0531,                0.91002,                 1.2889,               0.006535,               0.006535,               0.006535
                    108,                 1.3427,                0.98902,                 1.4307,                0.84275,                0.83314,                0.89385,                0.68045,                 1.0558,                0.92398,                 1.2887,               0.006502,               0.006502,               0.006502
                    109,                 1.3449,                 1.0072,                 1.4252,                0.85852,                0.81935,                0.88873,                0.67914,                 1.0484,                0.95788,                 1.2845,               0.006469,               0.006469,               0.006469
                    110,                 1.3638,                0.99483,                 1.4397,                0.86087,                0.82871,                0.90259,                0.69295,                 1.0584,                0.91772,                 1.3022,               0.006436,               0.006436,               0.006436
                    111,                 1.3532,                0.98652,                 1.4388,                0.85656,                0.82739,                0.89567,                0.68486,                 1.0459,                0.91899,                 1.2855,               0.006403,               0.006403,               0.006403
                    112,                 1.3425,                0.97975,                   1.43,                0.86176,                0.83246,                0.90226,                0.69202,                 1.0425,                0.91145,                 1.2843,                0.00637,                0.00637,                0.00637
                    113,                 1.3437,                0.98729,                 1.4325,                0.87112,                0.83471,                0.89942,                0.69108,                 1.0426,                0.91372,                 1.2812,               0.006337,               0.006337,               0.006337
                    114,                 1.3479,                0.99971,                 1.4352,                0.86234,                0.82446,                 0.9038,                0.68982,                 1.0643,                0.89864,                 1.3028,               0.006304,               0.006304,               0.006304
                    115,                 1.3306,                0.96581,                 1.4134,                0.84916,                0.85848,                0.90679,                0.69195,                 1.0531,                 0.8788,                 1.2954,               0.006271,               0.006271,               0.006271
                    116,                 1.3191,                 0.9673,                 1.4137,                0.86195,                0.82894,                0.90047,                0.69002,                 1.0456,                0.88549,                 1.2968,               0.006238,               0.006238,               0.006238
                    117,                 1.3554,                0.97909,                 1.4252,                0.86023,                0.83653,                0.90436,                0.69234,                 1.0437,                0.88685,                 1.2837,               0.006205,               0.006205,               0.006205
                    118,                 1.3525,                0.98381,                 1.4345,                 0.8432,                0.82795,                0.88818,                0.68168,                 1.0502,                0.94848,                 1.2924,               0.006172,               0.006172,               0.006172
                    119,                 1.3336,                0.96147,                 1.4149,                0.87355,                0.81888,                 0.9007,                0.68979,                 1.0439,                0.90472,                 1.2735,               0.006139,               0.006139,               0.006139
                    120,                 1.3226,                0.97572,                 1.4229,                0.85663,                0.85115,                0.90317,                0.69209,                 1.0397,                0.88242,                 1.2757,               0.006106,               0.006106,               0.006106
                    121,                 1.3359,                 0.9728,                 1.4196,                 0.8721,                0.84169,                0.89923,                0.68934,                 1.0367,                0.87965,                 1.2801,               0.006073,               0.006073,               0.006073
                    122,                 1.3333,                0.96559,                 1.4242,                0.84796,                0.83701,                0.90033,                0.68849,                 1.0424,                 0.9047,                 1.2835,                0.00604,                0.00604,                0.00604
                    123,                 1.3379,                0.97257,                  1.419,                0.85319,                0.82864,                0.89786,                0.68959,                 1.0569,                0.91521,                 1.3019,               0.006007,               0.006007,               0.006007
                    124,                 1.3415,                0.96712,                 1.4192,                0.85249,                0.83458,                0.89973,                0.69039,                 1.0487,                0.90526,                 1.2891,               0.005974,               0.005974,               0.005974
                    125,                 1.3411,                0.96244,                   1.42,                0.85472,                 0.8448,                0.89796,                0.69003,                 1.0485,                0.90171,                 1.2962,               0.005941,               0.005941,               0.005941
                    126,                 1.3259,                0.96184,                 1.4156,                0.85407,                0.84755,                0.90308,                0.69205,                 1.0543,                0.89565,                 1.2893,               0.005908,               0.005908,               0.005908
                    127,                 1.3251,                0.95906,                 1.4202,                0.84407,                0.84834,                0.90294,                0.69438,                  1.037,                0.87226,                 1.2819,               0.005875,               0.005875,               0.005875
                    128,                 1.3403,                 0.9631,                 1.4147,                0.86039,                0.83774,                0.90679,                0.69707,                 1.0392,                0.87298,                  1.279,               0.005842,               0.005842,               0.005842
                    129,                 1.3252,                0.94427,                 1.4075,                0.84276,                0.84487,                0.89796,                0.69252,                 1.0343,                0.87896,                 1.2763,               0.005809,               0.005809,               0.005809
                    130,                 1.3185,                 0.9241,                 1.4087,                0.85371,                0.84824,                0.90169,                0.69653,                 1.0295,                0.86393,                 1.2778,               0.005776,               0.005776,               0.005776
                    131,                 1.3096,                0.94184,                 1.4086,                0.87717,                 0.8268,                0.90235,                0.69566,                 1.0264,                0.87704,                 1.2755,               0.005743,               0.005743,               0.005743
                    132,                 1.3395,                0.95955,                 1.4217,                0.85093,                0.85871,                0.90043,                0.69068,                 1.0473,                0.87768,                 1.2824,                0.00571,                0.00571,                0.00571
                    133,                 1.3213,                0.95295,                 1.4084,                0.84788,                0.85626,                0.90623,                0.70006,                 1.0321,                0.86073,                  1.271,               0.005677,               0.005677,               0.005677
                    134,                 1.3153,                0.93962,                 1.4128,                0.85403,                0.85991,                0.90711,                0.69703,                 1.0375,                0.85946,                 1.2767,               0.005644,               0.005644,               0.005644
                    135,                 1.3236,                0.93752,                 1.4079,                0.86858,                0.84987,                0.90486,                0.69657,                 1.0374,                0.88975,                 1.2774,               0.005611,               0.005611,               0.005611
                    136,                 1.3288,                0.93482,                 1.4143,                0.85985,                 0.8425,                0.90009,                0.69484,                 1.0453,                0.87797,                 1.2822,               0.005578,               0.005578,               0.005578
                    137,                 1.3113,                 0.9342,                 1.4048,                0.87209,                0.84404,                0.89953,                0.69183,                 1.0315,                0.85607,                 1.2764,               0.005545,               0.005545,               0.005545
                    138,                 1.3221,                0.92894,                 1.4106,                0.87511,                0.84143,                0.90365,                0.69456,                 1.0285,                 0.8652,                 1.2665,               0.005512,               0.005512,               0.005512
                    139,                  1.318,                0.92479,                 1.4106,                0.85922,                0.85076,                0.90831,                0.70071,                 1.0293,                0.85464,                  1.269,               0.005479,               0.005479,               0.005479
                    140,                 1.3175,                0.93023,                 1.4112,                0.86038,                 0.8408,                0.90535,                0.69807,                 1.0367,                0.85872,                 1.2833,               0.005446,               0.005446,               0.005446
                    141,                 1.3131,                0.92472,                 1.3994,                0.86217,                 0.8533,                0.90276,                0.69841,                 1.0316,                0.85674,                 1.2775,               0.005413,               0.005413,               0.005413
                    142,                 1.3063,                0.90944,                 1.3939,                0.86482,                0.85904,                0.91072,                0.70631,                 1.0231,                0.83614,                 1.2654,                0.00538,                0.00538,                0.00538
                    143,                 1.3108,                 0.9238,                 1.4032,                0.86399,                0.84557,                0.90172,                0.69873,                  1.027,                0.89295,                 1.2677,               0.005347,               0.005347,               0.005347
                    144,                 1.3204,                0.92169,                 1.4129,                 0.8609,                0.85082,                0.90789,                0.70373,                 1.0252,                0.84131,                 1.2657,               0.005314,               0.005314,               0.005314
                    145,                 1.3211,                  0.932,                 1.4087,                0.83549,                0.85182,                0.90646,                0.70028,                 1.0264,                0.87554,                 1.2733,               0.005281,               0.005281,               0.005281
                    146,                 1.3189,                  0.932,                 1.4074,                0.85428,                0.85436,                0.90869,                0.70339,                 1.0173,                0.84895,                 1.2569,               0.005248,               0.005248,               0.005248
                    147,                 1.3104,                0.91433,                 1.4013,                0.84355,                0.85487,                0.90916,                0.70311,                 1.0336,                0.86689,                 1.2745,               0.005215,               0.005215,               0.005215
                    148,                 1.3142,                0.92449,                 1.4055,                0.84981,                0.86069,                0.90465,                 0.6983,                 1.0331,                0.88198,                 1.2763,               0.005182,               0.005182,               0.005182
                    149,                 1.2975,                0.91175,                 1.3982,                 0.8693,                0.85406,                  0.912,                 0.7071,                 1.0336,                0.84017,                 1.2775,               0.005149,               0.005149,               0.005149
                    150,                 1.2937,                0.89849,                 1.3862,                 0.8518,                0.84864,                0.90886,                0.70381,                 1.0217,                 0.8565,                  1.262,               0.005116,               0.005116,               0.005116
                    151,                 1.3143,                0.91074,                 1.3905,                0.88119,                0.85421,                0.90753,                0.70494,                 1.0263,                0.84591,                 1.2656,               0.005083,               0.005083,               0.005083
                    152,                 1.2992,                0.90883,                 1.3932,                0.86221,                0.85619,                0.91149,                  0.707,                  1.025,                0.83647,                 1.2693,                0.00505,                0.00505,                0.00505
                    153,                 1.2993,                0.91091,                 1.3962,                0.85309,                 0.8586,                0.91078,                0.70392,                 1.0316,                0.85415,                 1.2704,               0.005017,               0.005017,               0.005017
                    154,                 1.2989,                0.88708,                 1.3873,                0.86183,                0.85455,                0.90803,                0.70397,                 1.0359,                0.83703,                 1.2789,               0.004984,               0.004984,               0.004984
