                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                  1.358,                 1.0086,                 1.4134,                 0.8422,                0.83173,                0.89231,                0.67503,                  1.067,                 0.9889,                 1.2848,               0.007228,               0.007228,               0.007228
                     87,                 1.3399,                0.97365,                 1.4008,                0.85689,                0.83942,                0.90051,                0.68497,                 1.0599,                0.92511,                 1.2745,               0.007195,               0.007195,               0.007195
                     88,                 1.3588,                0.98129,                 1.3994,                0.82662,                0.81358,                 0.8815,                0.66759,                 1.0834,                0.98514,                 1.2972,               0.007162,               0.007162,               0.007162
                     89,                 1.3438,                0.99066,                 1.4072,                0.84935,                0.82752,                0.89245,                0.67894,                 1.0908,                0.97282,                 1.2982,               0.007129,               0.007129,               0.007129
                     90,                 1.3559,                0.99282,                 1.4034,                0.84512,                0.83093,                0.89362,                0.68061,                  1.059,                0.94961,                 1.2862,               0.007096,               0.007096,               0.007096
                     91,                 1.3525,                0.98763,                 1.4091,                0.88041,                0.81717,                0.89638,                  0.686,                 1.0688,                0.94009,                 1.2937,               0.007063,               0.007063,               0.007063
                     92,                 1.3594,                0.99932,                 1.4044,                0.84652,                0.82678,                0.89394,                0.68396,                 1.0535,                0.94988,                 1.2664,                0.00703,                0.00703,                0.00703
                     93,                 1.3322,                0.97533,                 1.4026,                0.86477,                 0.8174,                0.89469,                0.67915,                 1.0661,                 0.9475,                  1.286,               0.006997,               0.006997,               0.006997
                     94,                 1.3486,                0.97471,                 1.4037,                 0.8444,                0.83203,                0.89016,                 0.6784,                 1.0831,                0.95103,                 1.2919,               0.006964,               0.006964,               0.006964
                     95,                 1.3365,                0.96431,                 1.3921,                0.85009,                0.81688,                0.89098,                0.67986,                 1.0815,                0.96903,                 1.2887,               0.006931,               0.006931,               0.006931
                     96,                 1.3386,                0.96729,                 1.3984,                0.84894,                0.82678,                0.89317,                0.68223,                 1.0733,                0.96829,                 1.2965,               0.006898,               0.006898,               0.006898
                     97,                 1.3395,                0.96521,                 1.3908,                0.84996,                0.83204,                0.89432,                0.68484,                 1.0682,                0.94218,                 1.2845,               0.006865,               0.006865,               0.006865
                     98,                 1.3631,                0.98185,                 1.4129,                0.85026,                0.82925,                0.89554,                0.68102,                 1.0724,                0.96414,                 1.2924,               0.006832,               0.006832,               0.006832
                     99,                 1.3369,                0.96846,                 1.3975,                  0.863,                0.82001,                0.90102,                0.68934,                 1.0591,                0.94578,                 1.2837,               0.006799,               0.006799,               0.006799
                    100,                 1.3365,                0.96487,                 1.4021,                0.86484,                0.82682,                0.89916,                 0.6847,                 1.0601,                0.95356,                  1.274,               0.006766,               0.006766,               0.006766
                    101,                 1.3518,                0.98389,                 1.4064,                0.85627,                0.82575,                0.89985,                0.68566,                 1.0657,                0.91742,                 1.2767,               0.006733,               0.006733,               0.006733
                    102,                 1.3244,                0.95397,                 1.3825,                0.86476,                0.83329,                0.90107,                0.68773,                 1.0411,                0.93233,                 1.2636,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.3185,                0.93765,                 1.3769,                0.85136,                0.84989,                0.90692,                 0.6943,                 1.0601,                0.91944,                 1.2775,               0.006667,               0.006667,               0.006667
                    104,                 1.3279,                0.94877,                  1.389,                 0.8479,                0.83216,                0.89671,                0.68681,                 1.0526,                 0.9396,                 1.2666,               0.006634,               0.006634,               0.006634
                    105,                 1.3423,                 0.9483,                 1.3937,                0.86873,                0.82917,                0.90194,                0.68993,                 1.0453,                0.91983,                 1.2653,               0.006601,               0.006601,               0.006601
                    106,                 1.3171,                0.93622,                 1.3684,                0.87321,                0.84673,                0.90559,                0.69408,                 1.0565,                0.91643,                 1.2831,               0.006568,               0.006568,               0.006568
                    107,                 1.3151,                 0.9388,                 1.3787,                0.86343,                0.82207,                0.89442,                0.68536,                 1.0591,                0.91182,                 1.2737,               0.006535,               0.006535,               0.006535
                    108,                 1.3197,                0.94504,                 1.3899,                0.83757,                0.84186,                0.89867,                0.68859,                 1.0511,                0.92762,                 1.2701,               0.006502,               0.006502,               0.006502
                    109,                 1.3289,                0.95292,                 1.3879,                0.85054,                0.84244,                0.89673,                0.68215,                 1.0712,                0.93974,                 1.2855,               0.006469,               0.006469,               0.006469
                    110,                 1.3173,                0.94988,                 1.3772,                0.87281,                0.83006,                0.90483,                0.69312,                 1.0483,                0.90399,                 1.2705,               0.006436,               0.006436,               0.006436
                    111,                 1.3168,                0.92966,                 1.3804,                0.85836,                0.84169,                0.90276,                0.69464,                 1.0422,                0.93111,                 1.2652,               0.006403,               0.006403,               0.006403
                    112,                 1.3032,                0.93778,                 1.3768,                0.85859,                  0.837,                0.90661,                0.69489,                 1.0556,                0.88819,                 1.2714,                0.00637,                0.00637,                0.00637
                    113,                 1.3121,                0.92788,                 1.3733,                0.83904,                 0.8505,                 0.8988,                 0.6857,                  1.037,                0.93942,                 1.2629,               0.006337,               0.006337,               0.006337
                    114,                 1.3044,                0.92824,                 1.3707,                0.86716,                  0.843,                0.90574,                0.69009,                  1.056,                0.90778,                 1.2683,               0.006304,               0.006304,               0.006304
                    115,                  1.321,                 0.9305,                 1.3805,                0.86977,                0.84662,                 0.9051,                0.69695,                 1.0533,                 0.8986,                 1.2726,               0.006271,               0.006271,               0.006271
                    116,                 1.3124,                0.93878,                 1.3777,                0.86355,                0.85169,                0.91332,                0.70192,                 1.0336,                0.87461,                 1.2543,               0.006238,               0.006238,               0.006238
                    117,                  1.298,                0.90418,                 1.3598,                0.85753,                0.85811,                0.91361,                0.70637,                 1.0323,                0.87665,                 1.2494,               0.006205,               0.006205,               0.006205
                    118,                 1.3298,                0.93996,                 1.3859,                0.86047,                0.83186,                 0.9037,                0.68883,                 1.0555,                0.94222,                  1.273,               0.006172,               0.006172,               0.006172
                    119,                 1.3104,                0.93014,                 1.3705,                0.85092,                0.83701,                0.90124,                0.69201,                 1.0455,                0.87646,                 1.2647,               0.006139,               0.006139,               0.006139
                    120,                 1.3087,                0.93103,                 1.3676,                0.86006,                0.85593,                0.90745,                0.70115,                 1.0522,                0.88481,                 1.2665,               0.006106,               0.006106,               0.006106
                    121,                 1.2936,                0.90719,                 1.3562,                0.86949,                0.85383,                0.91133,                0.69907,                 1.0295,                0.89142,                 1.2491,               0.006073,               0.006073,               0.006073
                    122,                 1.3173,                0.93104,                 1.3812,                0.86912,                0.83431,                0.90422,                0.69457,                 1.0533,                0.89386,                  1.271,                0.00604,                0.00604,                0.00604
                    123,                 1.3211,                0.92389,                 1.3836,                0.85532,                0.85742,                0.90803,                0.70145,                 1.0412,                0.88775,                 1.2684,               0.006007,               0.006007,               0.006007
                    124,                 1.3206,                0.93275,                 1.3872,                0.87131,                0.83998,                0.90388,                 0.6943,                 1.0432,                0.91605,                  1.266,               0.005974,               0.005974,               0.005974
                    125,                 1.2915,                0.90162,                 1.3564,                0.85254,                0.85634,                0.91252,                0.70291,                  1.039,                0.90855,                 1.2607,               0.005941,               0.005941,               0.005941
                    126,                 1.3014,                0.91215,                 1.3641,                0.88136,                0.84731,                0.91598,                0.70558,                 1.0367,                 0.8654,                 1.2602,               0.005908,               0.005908,               0.005908
                    127,                 1.3058,                 0.9112,                 1.3712,                0.86357,                0.84313,                0.90739,                0.69762,                 1.0297,                0.88914,                  1.247,               0.005875,               0.005875,               0.005875
                    128,                 1.2872,                0.89945,                   1.35,                0.87984,                0.84086,                0.91235,                0.70364,                 1.0379,                0.87174,                 1.2595,               0.005842,               0.005842,               0.005842
                    129,                 1.3049,                 0.8999,                 1.3541,                0.86672,                0.83832,                0.90178,                0.69281,                  1.037,                0.90654,                 1.2531,               0.005809,               0.005809,               0.005809
                    130,                 1.2763,                0.88102,                 1.3435,                0.84112,                0.85749,                0.90932,                0.70388,                 1.0319,                0.87948,                 1.2453,               0.005776,               0.005776,               0.005776
                    131,                 1.2876,                0.88577,                 1.3487,                0.87902,                 0.8441,                0.91368,                0.70227,                 1.0497,                0.88354,                   1.26,               0.005743,               0.005743,               0.005743
                    132,                 1.3035,                0.89836,                 1.3566,                0.86484,                0.84634,                0.90658,                0.69878,                 1.0364,                0.88452,                 1.2583,                0.00571,                0.00571,                0.00571
                    133,                 1.2815,                0.88264,                 1.3442,                0.86414,                0.85315,                0.91299,                0.70673,                 1.0213,                0.86013,                 1.2495,               0.005677,               0.005677,               0.005677
                    134,                 1.3154,                 0.9116,                 1.3652,                0.87523,                0.84045,                0.90623,                0.69805,                 1.0297,                0.89285,                 1.2483,               0.005644,               0.005644,               0.005644
                    135,                 1.2775,                0.88562,                 1.3507,                 0.8798,                0.84193,                0.91511,                0.70922,                 1.0374,                0.86855,                 1.2505,               0.005611,               0.005611,               0.005611
                    136,                 1.2918,                0.89197,                 1.3492,                0.87417,                0.85323,                0.91152,                0.70516,                 1.0435,                0.88612,                  1.254,               0.005578,               0.005578,               0.005578
                    137,                 1.2897,                0.88807,                 1.3552,                0.87764,                0.84596,                0.91406,                0.70702,                 1.0249,                 0.8527,                 1.2497,               0.005545,               0.005545,               0.005545
                    138,                 1.2752,                0.87443,                 1.3467,                 0.8698,                0.85337,                0.91149,                0.70471,                 1.0173,                0.87168,                 1.2445,               0.005512,               0.005512,               0.005512
                    139,                 1.2994,                0.88806,                 1.3645,                0.86433,                 0.8615,                0.91279,                0.70115,                 1.0331,                0.88824,                 1.2608,               0.005479,               0.005479,               0.005479
                    140,                 1.2923,                0.87597,                 1.3521,                0.87918,                0.85045,                0.91658,                0.70989,                 1.0218,                0.87156,                 1.2456,               0.005446,               0.005446,               0.005446
                    141,                 1.2962,                0.90133,                 1.3591,                0.87297,                0.85289,                0.91904,                0.71493,                 1.0266,                0.85016,                 1.2465,               0.005413,               0.005413,               0.005413
                    142,                 1.2892,                0.87854,                   1.35,                0.87384,                0.84609,                 0.9159,                 0.7101,                 1.0313,                0.87795,                 1.2545,                0.00538,                0.00538,                0.00538
                    143,                 1.2818,                0.87658,                 1.3431,                0.88089,                0.84846,                0.91777,                0.71117,                 1.0289,                0.85856,                 1.2443,               0.005347,               0.005347,               0.005347
                    144,                 1.2838,                0.87109,                 1.3501,                0.84776,                0.86591,                0.91436,                0.70777,                 1.0276,                0.88365,                 1.2547,               0.005314,               0.005314,               0.005314
                    145,                 1.2766,                0.88114,                 1.3511,                 0.8598,                0.87104,                0.92039,                0.71446,                 1.0267,                 0.8361,                 1.2482,               0.005281,               0.005281,               0.005281
                    146,                 1.2905,                 0.8859,                  1.352,                 0.8729,                0.85595,                 0.9168,                 0.7095,                 1.0251,                0.86306,                 1.2447,               0.005248,               0.005248,               0.005248
                    147,                 1.2678,                0.86611,                 1.3384,                0.88157,                0.85261,                0.92195,                0.71805,                 1.0296,                0.83706,                 1.2448,               0.005215,               0.005215,               0.005215
                    148,                  1.276,                0.86276,                 1.3415,                0.87901,                0.85885,                0.91921,                0.71376,                 1.0316,                0.84207,                 1.2408,               0.005182,               0.005182,               0.005182
                    149,                 1.2706,                0.86848,                 1.3464,                0.88126,                0.85868,                 0.9196,                0.71182,                 1.0182,                0.84403,                 1.2466,               0.005149,               0.005149,               0.005149
                    150,                 1.2578,                0.84234,                 1.3244,                0.88554,                0.85546,                0.92113,                0.71473,                  1.026,                0.83914,                 1.2468,               0.005116,               0.005116,               0.005116
                    151,                 1.2687,                0.85703,                 1.3429,                0.86181,                0.85865,                0.91854,                 0.7117,                 1.0205,                0.84352,                 1.2401,               0.005083,               0.005083,               0.005083
                    152,                 1.2841,                0.87243,                 1.3471,                0.87244,                 0.8567,                0.91654,                0.71097,                 1.0326,                 0.8498,                 1.2471,                0.00505,                0.00505,                0.00505
                    153,                 1.2714,                0.86428,                 1.3343,                 0.8702,                0.85611,                 0.9144,                0.70647,                 1.0268,                0.84918,                 1.2467,               0.005017,               0.005017,               0.005017
                    154,                 1.2547,                0.85148,                 1.3348,                0.87024,                0.86365,                0.91689,                0.70843,                 1.0224,                0.84313,                 1.2429,               0.004984,               0.004984,               0.004984
